conversation_id,conversation_json,sarcasm,category,sentiment
4748,"[{""speaker"": ""customer"", ""text"": ""What's the status of my order?""}, {""speaker"": ""agent"", ""text"": ""I'll check that for you right away.""}]",0,product_quality,neutral
1200,"[{""speaker"": ""customer"", ""text"": ""Excellent! my payment failed. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,billing,negative
5223,"[{""speaker"": ""customer"", ""text"": ""What's the status of my order?""}, {""speaker"": ""agent"", ""text"": ""I'll check that for you right away.""}]",0,technical_support,neutral
4548,"[{""speaker"": ""customer"", ""text"": ""Can I change my order?""}, {""speaker"": ""agent"", ""text"": ""Let me see what I can do for you.""}]",0,technical_support,neutral
1863,"[{""speaker"": ""customer"", ""text"": ""I need help with I was charged twice.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,general_query,negative
3215,"[{""speaker"": ""customer"", ""text"": ""helping me understand was perfect. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Glad we could help! Have a great day.""}]",0,billing,positive
231,"[{""speaker"": ""customer"", ""text"": ""Excellent! I received an empty box. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,technical_support,negative
34,"[{""speaker"": ""customer"", ""text"": ""Oh wonderful, the item is out of stock. Best service ever.""}, {""speaker"": ""agent"", ""text"": ""I'm very sorry. Let me investigate this immediately.""}]",1,billing,negative
3472,"[{""speaker"": ""customer"", ""text"": ""Very satisfied with the replacement item. Thank you.""}, {""speaker"": ""agent"", ""text"": ""We appreciate your business! Have a wonderful day.""}]",0,technical_support,positive
3723,"[{""speaker"": ""customer"", ""text"": ""I appreciate the quick response. Very helpful.""}, {""speaker"": ""agent"", ""text"": ""We're happy to assist! Is there anything else?""}]",0,delivery_issue,positive
945,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! the delivery address is wrong. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,delivery_issue,negative
1303,"[{""speaker"": ""customer"", ""text"": ""Wow, the item is defective. You guys are really on top of things.""}, {""speaker"": ""agent"", ""text"": ""I understand your frustration. Let me look into this.""}]",1,general_query,negative
372,"[{""speaker"": ""customer"", ""text"": ""Excellent! the discount code doesn't work. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,technical_support,negative
933,"[{""speaker"": ""customer"", ""text"": ""Lovely! the item is out of stock. This is why I shop here.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry for the trouble. Let me fix this for you.""}]",1,delivery_issue,negative
3910,"[{""speaker"": ""customer"", ""text"": ""Thank you for helping me understand. Great service!""}, {""speaker"": ""agent"", ""text"": ""You're welcome! We're glad we could help.""}]",0,delivery_issue,positive
1515,"[{""speaker"": ""customer"", ""text"": ""There's an issue with the shipping cost is too high. Please assist.""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to help. Let me check your account.""}]",0,technical_support,negative
3455,"[{""speaker"": ""customer"", ""text"": ""the professional service was perfect. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Glad we could help! Have a great day.""}]",0,product_quality,positive
5014,"[{""speaker"": ""customer"", ""text"": ""What's the status of my order?""}, {""speaker"": ""agent"", ""text"": ""I'll check that for you right away.""}]",0,product_quality,neutral
9,"[{""speaker"": ""customer"", ""text"": ""Lovely! my package is damaged. This is why I shop here.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry for the trouble. Let me fix this for you.""}]",1,technical_support,negative
2104,"[{""speaker"": ""customer"", ""text"": ""There seems to be the shipping cost is too high. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,product_quality,negative
1631,"[{""speaker"": ""customer"", ""text"": ""There's an issue with I received an empty box. Please assist.""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to help. Let me check your account.""}]",0,delivery_issue,negative
2147,"[{""speaker"": ""customer"", ""text"": ""I'm experiencing my order was delayed again. Please help.""}, {""speaker"": ""agent"", ""text"": ""I'm here to help. Let me look into this.""}]",0,product_quality,negative
3253,"[{""speaker"": ""customer"", ""text"": ""Great job on fixing the billing error. Much appreciated.""}, {""speaker"": ""agent"", ""text"": ""Thank you! We're here if you need anything else.""}]",0,technical_support,positive
590,"[{""speaker"": ""customer"", ""text"": ""Oh wonderful, my payment failed. Best service ever.""}, {""speaker"": ""agent"", ""text"": ""I'm very sorry. Let me investigate this immediately.""}]",1,technical_support,negative
